date,temp_mean,temp_max,temp_min,precipitation,wind_speed_mean,wind_speed_max,humidity_mean,solar_radiation,wind_sin,wind_cos
2022-01-01,7.9,14.2,2.9,0.0,1.2,5.1,81.0,6.5,-0.7071067811865475,-0.7071067811865477
2022-01-02,6.3,11.5,3.5,0.0,0.8,2.7,84.0,4.5,-0.7071067811865475,-0.7071067811865477
2022-01-03,6.3,9.0,3.5,0.0,0.9,3.5,84.0,3.1,0.3826834323650898,0.9238795325112868
2022-01-04,6.4,7.6,5.1,0.0,0.9,2.5,98.0,0.6,0.3826834323650898,0.9238795325112868
2022-01-05,7.5,10.4,5.8,0.4,1.0,5.4,85.0,4.6,-0.3826834323650896,-0.9238795325112868
2022-01-06,5.3,9.4,1.5,0.0,1.0,4.4,50.0,6.6,-0.3826834323650896,-0.9238795325112868
2022-01-07,3.4,7.6,0.8,0.0,0.9,3.1,64.0,6.9,0.0,1.0
2022-01-08,1.8,6.5,-2.1,0.0,1.1,4.6,79.0,7.0,0.9238795325112868,0.3826834323650898
2022-01-09,3.0,8.2,-1.6,0.0,1.0,4.5,75.0,7.1,-0.3826834323650896,-0.9238795325112868
2022-01-10,3.1,8.4,-1.6,0.0,1.4,5.8,73.0,7.0,-0.3826834323650896,-0.9238795325112868
2022-01-11,4.6,9.7,0.6,0.0,1.1,6.1,49.0,7.6,-0.3826834323650896,-0.9238795325112868
2022-01-12,3.5,7.9,-0.2,0.0,0.9,4.2,57.0,7.6,0.0,1.0
2022-01-13,4.0,9.2,0.0,0.0,1.0,3.7,58.0,7.4,-0.3826834323650896,-0.9238795325112868
2022-01-14,5.8,11.7,0.3,0.0,1.2,4.3,52.0,7.7,-0.7071067811865475,-0.7071067811865477
2022-01-15,6.9,12.9,2.1,0.0,1.0,4.1,55.0,7.6,-0.7071067811865475,-0.7071067811865477
2022-01-16,6.3,11.2,2.8,0.0,1.0,4.2,60.0,7.7,-0.7071067811865475,-0.7071067811865477
2022-01-17,7.3,13.9,1.9,0.0,1.2,4.5,52.0,8.1,-0.7071067811865475,-0.7071067811865477
2022-01-18,6.4,11.0,1.6,0.0,1.2,4.7,56.0,7.7,0.3826834323650898,0.9238795325112868
2022-01-19,4.2,7.2,1.9,0.0,0.9,3.7,72.0,6.2,-0.7071067811865475,-0.7071067811865477
2022-01-20,5.2,11.2,0.9,0.0,1.1,4.1,63.0,8.4,-0.3826834323650896,-0.9238795325112868
2022-01-21,4.3,10.6,-0.4,0.0,1.3,4.5,63.0,8.4,-0.7071067811865475,-0.7071067811865477
2022-01-22,2.6,7.9,-2.7,0.0,1.6,5.7,74.0,8.1,-0.3826834323650896,-0.9238795325112868
2022-01-23,3.9,8.7,0.5,0.0,1.2,4.7,72.0,7.9,0.7071067811865476,0.7071067811865476
2022-01-24,2.8,8.1,-0.7,0.0,1.1,3.8,79.0,7.9,0.9238795325112868,0.3826834323650898
2022-01-25,0.5,1.9,-0.8,0.0,1.2,3.7,97.0,1.2,-0.7071067811865475,-0.7071067811865477
2022-01-26,0.7,6.0,-1.7,0.0,1.3,4.1,94.0,7.8,-0.3826834323650896,-0.9238795325112868
2022-01-27,1.1,7.1,-2.5,0.0,1.1,3.9,91.0,9.4,0.9238795325112868,0.3826834323650898
2022-01-28,5.8,14.2,-0.8,0.0,1.3,5.8,64.0,9.8,-0.3826834323650896,-0.9238795325112868
2022-01-29,6.3,11.4,1.4,0.0,1.0,3.9,53.0,9.3,0.7071067811865476,0.7071067811865476
2022-01-30,8.2,15.0,1.9,0.0,1.5,5.2,55.0,10.1,-0.7071067811865475,-0.7071067811865477
2022-01-31,7.0,16.4,1.6,0.0,2.4,15.5,60.0,7.2,-0.9238795325112866,0.38268343236509
2022-02-01,8.1,12.4,3.3,0.0,1.4,6.1,31.0,10.3,-0.3826834323650896,-0.9238795325112868
2022-02-02,10.0,17.5,4.0,0.0,1.4,7.0,40.0,10.5,-0.3826834323650896,-0.9238795325112868
2022-02-03,8.9,12.5,6.0,0.0,1.2,5.2,59.0,8.9,0.3826834323650898,0.9238795325112868
2022-02-04,7.9,12.6,4.9,0.0,0.9,3.7,70.0,9.0,-0.3826834323650896,-0.9238795325112868
2022-02-05,8.0,14.8,3.4,0.0,1.1,4.7,73.0,10.1,0.0,1.0
2022-02-06,4.4,7.2,2.8,0.0,1.4,5.3,98.0,4.5,-0.3826834323650896,-0.9238795325112868
2022-02-07,11.5,17.4,2.5,0.0,2.5,14.5,34.0,11.3,-0.7071067811865475,-0.7071067811865477
2022-02-08,8.5,15.4,3.2,0.0,1.2,5.0,34.0,11.6,-0.7071067811865475,-0.7071067811865477
2022-02-09,8.6,14.5,3.7,0.0,0.8,4.1,52.0,11.0,0.7071067811865476,0.7071067811865476
2022-02-10,8.2,12.7,4.7,0.0,0.8,3.1,63.0,7.2,0.7071067811865476,0.7071067811865476
2022-02-11,8.4,12.8,4.7,0.0,1.2,4.2,71.0,8.2,-0.3826834323650896,-0.9238795325112868
2022-02-12,6.2,8.7,4.2,4.2,1.3,5.4,70.0,4.7,0.7071067811865476,0.7071067811865476
2022-02-13,5.4,10.1,1.4,0.0,1.1,3.5,59.0,11.9,0.9238795325112868,0.3826834323650898
2022-02-14,4.6,6.9,2.4,0.2,1.3,4.1,63.0,3.6,0.9238795325112868,0.3826834323650898
2022-02-15,5.4,11.4,1.9,0.0,1.5,5.4,78.0,9.5,-0.3826834323650896,-0.9238795325112868
2022-02-16,4.5,9.9,-0.1,0.0,1.2,3.7,82.0,10.7,0.3826834323650898,0.9238795325112868
2022-02-17,9.3,18.4,2.9,0.0,1.0,5.2,64.0,12.8,-0.3826834323650896,-0.9238795325112868
2022-02-18,6.1,8.7,2.3,0.0,1.5,6.7,94.0,2.3,0.7071067811865476,0.7071067811865476
2022-02-19,9.6,12.9,6.8,0.0,1.4,4.4,84.0,7.8,-0.3826834323650896,-0.9238795325112868
2022-02-20,10.1,17.0,3.9,0.0,0.9,3.5,68.0,12.8,0.9238795325112868,0.3826834323650898
2022-02-21,10.4,15.9,5.9,0.0,2.8,14.2,50.0,13.3,-1.0,-1.8369701987210294e-16
2022-02-22,11.6,17.2,5.6,0.0,1.6,7.7,31.0,14.4,0.9238795325112868,0.3826834323650898
2022-02-23,11.8,18.8,5.5,0.0,1.1,4.4,36.0,14.4,-0.3826834323650896,-0.9238795325112868
2022-02-24,9.5,13.2,6.5,0.0,1.2,4.1,51.0,10.4,0.9238795325112868,0.3826834323650898
2022-02-25,9.5,15.2,4.5,0.0,1.6,9.0,45.0,13.7,0.9238795325112868,0.3826834323650898
2022-02-26,8.9,15.3,3.4,0.0,1.4,6.0,22.0,15.8,-0.3826834323650896,-0.9238795325112868
2022-02-27,7.1,11.5,3.4,0.0,1.3,4.8,33.0,15.3,0.7071067811865476,0.7071067811865476
2022-02-28,7.5,13.9,1.3,0.0,1.2,6.5,32.0,15.8,-0.7071067811865475,-0.7071067811865477
2022-03-01,5.8,9.2,3.8,0.0,1.6,8.0,42.0,9.8,0.3826834323650898,0.9238795325112868
2022-03-02,6.8,11.6,1.9,0.0,0.9,4.7,44.0,14.4,-0.3826834323650896,-0.9238795325112868
2022-03-03,9.2,14.2,5.2,0.0,1.1,4.5,45.0,15.2,0.9238795325112868,0.3826834323650898
2022-03-04,8.1,12.2,3.5,0.0,1.6,6.5,59.0,11.8,0.9238795325112868,0.3826834323650898
2022-03-05,6.9,9.4,4.2,0.0,1.9,7.6,53.0,10.1,0.3826834323650898,0.9238795325112868
2022-03-06,5.8,9.3,3.1,0.0,1.5,4.5,45.0,13.9,0.9238795325112868,0.3826834323650898
2022-03-07,5.7,10.5,0.8,0.0,1.1,4.8,46.0,15.9,0.9238795325112868,0.3826834323650898
2022-03-08,4.6,7.1,1.9,0.0,1.6,5.8,55.0,6.8,0.3826834323650898,0.9238795325112868
2022-03-09,6.5,12.4,0.9,0.0,1.0,4.3,50.0,16.3,-0.3826834323650896,-0.9238795325112868
2022-03-10,8.5,14.7,2.7,0.0,1.0,3.9,46.0,15.5,0.7071067811865476,0.7071067811865476
2022-03-11,7.4,9.8,4.3,0.0,1.8,7.2,57.0,7.4,0.3826834323650898,0.9238795325112868
2022-03-12,6.1,7.8,5.0,0.0,1.7,6.2,56.0,2.7,0.3826834323650898,0.9238795325112868
2022-03-13,6.8,8.7,4.5,0.0,1.3,5.3,57.0,7.0,0.0,1.0
2022-03-14,7.9,10.6,4.5,1.6,1.3,5.0,59.0,10.1,-0.3826834323650896,-0.9238795325112868
2022-03-15,9.2,11.8,7.1,0.6,0.9,3.2,79.0,5.8,0.9238795325112868,0.3826834323650898
2022-03-16,10.6,15.1,7.0,0.0,1.1,5.0,74.0,9.8,-0.3826834323650896,-0.9238795325112868
2022-03-17,10.3,11.5,8.8,0.6,1.2,3.9,85.0,2.5,-0.3826834323650895,0.9238795325112868
2022-03-18,11.7,13.5,9.6,0.0,1.3,5.1,63.0,6.2,0.7071067811865476,0.7071067811865476
2022-03-19,10.8,15.4,7.2,0.0,1.6,6.3,47.0,17.6,0.9238795325112868,0.3826834323650898
2022-03-20,9.6,13.3,5.6,0.0,1.4,5.8,34.0,18.4,0.7071067811865476,0.7071067811865476
2022-03-21,9.7,13.9,6.7,0.0,1.2,4.5,39.0,16.1,0.9238795325112868,0.3826834323650898
2022-03-22,9.9,15.0,3.9,0.0,1.2,5.5,38.0,19.3,0.7071067811865476,0.7071067811865476
2022-03-23,12.1,18.2,4.8,0.0,1.0,4.7,28.0,20.2,0.9238795325112868,0.3826834323650898
2022-03-24,14.2,21.9,6.9,0.0,0.8,4.4,25.0,20.4,-0.3826834323650896,-0.9238795325112868
2022-03-25,14.5,21.0,8.0,0.0,1.0,5.1,25.0,19.7,0.7071067811865476,0.7071067811865476
2022-03-26,14.3,20.5,8.0,0.0,1.1,5.5,25.0,19.8,0.3826834323650898,0.9238795325112868
2022-03-27,14.8,19.3,9.7,0.0,0.8,4.5,28.0,14.1,0.7071067811865476,0.7071067811865476
2022-03-28,15.4,21.5,8.8,0.0,1.1,5.4,27.0,19.9,-0.7071067811865475,-0.7071067811865477
2022-03-29,13.8,18.8,9.1,0.0,1.6,6.1,40.0,18.1,0.3826834323650898,0.9238795325112868
2022-03-30,10.0,11.3,9.0,5.0,1.6,5.5,83.0,3.6,0.7071067811865476,0.7071067811865476
2022-03-31,12.0,16.0,8.9,0.4,1.5,6.5,73.0,18.1,-0.3826834323650896,-0.9238795325112868
2022-04-01,9.5,16.0,5.9,0.6,2.2,9.3,66.0,13.3,-0.3826834323650896,-0.9238795325112868
2022-04-02,6.3,9.1,3.8,2.2,1.9,6.8,68.0,7.3,-0.3826834323650896,-0.9238795325112868
2022-04-03,8.2,11.9,5.1,0.0,1.4,5.7,52.0,16.0,0.9238795325112868,0.3826834323650898
2022-04-04,8.7,12.4,6.0,0.0,1.1,4.3,62.0,10.9,0.0,1.0
2022-04-05,11.9,18.9,5.3,0.0,1.2,6.2,49.0,23.0,-0.7071067811865475,-0.7071067811865477
2022-04-06,12.2,16.0,6.8,0.0,1.4,3.8,58.0,15.6,0.7071067811865476,0.7071067811865476
2022-04-07,15.4,22.3,8.2,0.0,2.7,14.4,46.0,21.4,-0.9238795325112866,0.38268343236509
2022-04-08,17.6,24.8,10.4,0.0,3.1,14.5,42.0,22.7,-0.9238795325112868,-0.3826834323650895
2022-04-09,15.3,19.2,9.9,0.0,3.7,13.8,16.0,25.4,-0.9238795325112866,0.38268343236509
2022-04-10,11.3,16.9,4.0,0.0,1.6,6.5,35.0,25.0,0.9238795325112868,0.3826834323650898
